"Windows","7, x64 (build 7601) SP 1","7, x64 (build 7601) SP 1","7, 32-bit (build 7601) SP 1","7, 32-bit (build 7601) SP 1"
"R","R version 3.4.4 (2018-03-15)","R version 3.4.0 (2017-04-21)","R version 3.4.0 (2017-04-21)","R version 3.4.0 (2017-04-21)"
"RStudio","1.1.442","1.1.442","1.1.383","1.1.442"
"backports","1.1.2","1.1.2","1.1.1","1.1.1"
"base","3.4.4","3.4.0","3.4.0","3.4.0"
"base64enc","0.1-3","0.1-3","0.1-3","0.1-3"
"bitops","1.0-6","1.0-6","1.0-6","1.0-6"
"caTools","1.17.1","1.17.1","1.17.1","1.17.1"
"compiler","3.4.4","3.4.0","3.4.0","3.4.0"
"datasets","3.4.4","3.4.0","3.4.0","3.4.0"
"digest","0.6.15","0.6.15","0.6.12","0.6.12"
"evaluate","0.10.1","0.10.1","0.10.1","0.10.1"
"graphics","3.4.4","3.4.0","3.4.0","3.4.0"
"grDevices","3.4.4","3.4.0","3.4.0","3.4.0"
"highr","0.6","0.6","0.6","0.6"
"htmltools","0.3.6","0.3.6","0.3.6","0.3.6"
"jsonlite","1.5","1.5","1.5","1.5"
"knitr","1.20","1.20","1.17","1.17"
"magrittr","1.5","1.5","1.5","1.5"
"markdown","0.8","0.8","0.8","0.8"
"methods","3.4.4","3.4.0","3.4.0","3.4.0"
"Rcpp","0.12.16","0.12.16","0.12.13","0.12.13"
"rmarkdown","1.9","1.9","1.6","1.6"
"rprojroot","1.3-2","1.3-2","1.2","1.2"
"stats","3.4.4","3.4.0","3.4.0","3.4.0"
"stringi","1.1.7","1.1.7","1.1.5","1.1.5"
"stringr","1.3.0","1.3.0","1.2.0","1.2.0"
"tools","3.4.4","3.4.0","3.4.0","3.4.0"
"utils","3.4.4","3.4.0","3.4.0","3.4.0"
"yaml","2.1.18","2.1.19","2.1.14","2.1.14"
